participant_id,typeform_response_id,What is your prolific ID?,"How often have you experienced or witnessed safety-related incidents (e.g., crime, emergencies) in your city that affect how safe you feel?",Do you live North or South of the UK?,How much do you trust local government institutions?,How comfortable are you with understanding and using new technologies?,Response Type,Stage Date (UTC),Status,Custom study tncs accepted at,Deception,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status,Political affiliation (uk)
581d0144-51e9-4a32-9965-fe529022c560,8uy0xwcvclb33l0ymhp8uy0owjjdd1oa,6531312fd57d084e7803df3b,Rarely,North,Distrust,Neutral,completed,,APPROVED,Not Applicable,,44.0,Female,White,United Kingdom,United Kingdom,United Kingdom,English,,,
fa8862d3-067f-4a5a-ba3b-7868888af568,zsex06zw7dyvf6ytr3muzsextq376uhl,5f68e47097de38085d5f2284,Sometimes,South,Distrust,Comfortable,completed,,APPROVED,Not Applicable,,18.0,Male,Mixed,United Kingdom,United Kingdom,United Kingdom,English,Yes,Other,Left
3de18c01-6f27-4629-b992-f2a1fe39b1c0,ked4vbn8gesv01rked4vslpmty4zqrdg,6658d105095fc1ce71c51d57,Rarely,North,Distrust,Comfortable,completed,,APPROVED,Not Applicable,,42.0,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time,
09657af2-7b1c-47d9-ba3d-e268ff34830b,hmpw98so17gzn50w4cxeqohmpw0pibpc,5e95b16a5a20a7024211e6f5,Sometimes,South,Neutral,Comfortable,completed,,APPROVED,Not Applicable,,45.0,Female,White,United Kingdom,United Kingdom,United Kingdom,English,,,
c09fffc0-96fc-4277-9224-936797f094f1,l0b18rairm1ry0hzul0b1kn902702ge3,5b82d4fda284bc000193094c,Sometimes,South,Trust,Comfortable,completed,,APPROVED,Not Applicable,,33.0,Male,Asian,United Kingdom,United Kingdom,United Kingdom,English,,,
45c389c9-f216-45b0-8727-6ed55614c12c,w9iablofql416gh0v0w9iabllcljgk1e,66e2a63009fa06e958a34fcf,Never,South,Neutral,Very comfortable,completed,,TIMED-OUT,Not Applicable,,56.0,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,
6b3d2f8e-3b18-4ea2-b15f-dd08c3e017ec,jq44n1e77ripcjq44m6mqpgggj9nkd3h,55d51a6b8ce09000127d4821,Rarely,South,Neutral,Comfortable,completed,,APPROVED,Not Applicable,,35.0,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,
1a4a1296-9772-42bd-90c3-bdd54eae6d23,70ejipc3crv20gcb70ejipcfhi82cx0n,66ddb5abef188172bcfad517,Rarely,North,Trust,Comfortable,completed,,APPROVED,Not Applicable,,50.0,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,
d9aab5f9-511b-40a4-9de7-a9d8ba8bc570,wtsrow1k0hkp0e5f4uwtsrotxwrfnrsv,6082943690602d952ca12cff,Rarely,North,Neutral,Very comfortable,completed,,APPROVED,Not Applicable,,34.0,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,
ffb14771-babb-4b3f-a9e4-885e1096bf6d,odchbybqvhhogx2jpsgodchbyakm19d3,5dbf3be9aab19f3e2dab2f4d,Rarely,South,Strongly distrust,Very comfortable,completed,,APPROVED,Not Applicable,,66.0,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Unemployed (and job seeking),Right
